readingtime,readingvalue
2018-06-0201:10:00.000000+0000,0.6125
2018-06-0201:15:00.000000+0000,0.6375
2018-06-0201:20:00.000000+0000,0.670833333
2018-06-0201:25:00.000000+0000,0.654166667
2018-06-0201:30:00.000000+0000,0.604166667
2018-06-0201:35:00.000000+0000,0.666666667
2018-06-0201:40:00.000000+0000,0.6375
2018-06-0201:45:00.000000+0000,0.625
2018-06-0201:50:00.000000+0000,0.629166667
2018-06-0201:55:00.000000+0000,0.591666667
2018-06-0202:00:00.000000+0000,0.631284153
2018-06-0202:05:00.000000+0000,1.316882004
2018-06-0202:10:00.000000+0000,0.633407428
2018-06-0202:15:00.000000+0000,0.639689266
2018-06-0202:20:00.000000+0000,0.635587432
2018-06-0202:25:00.000000+0000,0.660875706
2018-06-0202:30:00.000000+0000,0.629166667
2018-06-0202:35:00.000000+0000,0.625
2018-06-0202:40:00.000000+0000,0.608333333
2018-06-0202:45:00.000000+0000,0.579166667
2018-06-0202:50:00.000000+0000,0.608333333
2018-06-0202:55:00.000000+0000,0.629097203
2018-06-0203:00:00.000000+0000,0.645833333
2018-06-0203:05:00.000000+0000,0.608333333
2018-06-0203:10:00.000000+0000,0.581489071
2018-06-0203:15:00.000000+0000,0.623163842
2018-06-0203:20:00.000000+0000,0.7125
2018-06-0203:25:00.000000+0000,0.679166667
2018-06-0203:30:00.000000+0000,0.616666667
2018-06-0203:35:00.000000+0000,0.6
2018-06-0203:40:00.000000+0000,0.65
2018-06-0203:45:00.000000+0000,0.679166667
2018-06-0203:50:00.000000+0000,0.629166667
2018-06-0203:55:00.000000+0000,0.666048439
2018-06-0204:00:00.000000+0000,0.620833333
2018-06-0204:05:00.000000+0000,0.620833333
2018-06-0204:10:00.000000+0000,0.638059183
2018-06-0204:15:00.000000+0000,0.604166667
2018-06-0204:20:00.000000+0000,0.579166667
2018-06-0204:25:00.000000+0000,0.604231499
2018-06-0204:30:00.000000+0000,0.633333333
2018-06-0204:35:00.000000+0000,0.895833333
2018-06-0204:40:00.000000+0000,0.625
2018-06-0204:45:00.000000+0000,0.5875
2018-06-0204:50:00.000000+0000,0.620833333
2018-06-0204:55:00.000000+0000,0.641666667
2018-06-0205:00:00.000000+0000,0.666666667
2018-06-0205:05:00.000000+0000,0.608333333
2018-06-0205:10:00.000000+0000,0.6125
2018-06-0205:15:00.000000+0000,0.620833333
2018-06-0205:20:00.000000+0000,0.658333333
2018-06-0205:25:00.000000+0000,0.654166667
2018-06-0205:30:00.000000+0000,0.616666667
2018-06-0205:35:00.000000+0000,0.6125
2018-06-0205:40:00.000000+0000,0.708333333
2018-06-0205:45:00.000000+0000,0.770833333
2018-06-0205:50:00.000000+0000,0.6625
2018-06-0205:55:00.000000+0000,0.679166667
2018-06-0206:00:00.000000+0000,0.675071779
2018-06-0206:05:00.000000+0000,0.716666667
2018-06-0206:10:00.000000+0000,0.6875
2018-06-0206:15:00.000000+0000,0.8375
2018-06-0206:20:00.000000+0000,0.9125
2018-06-0206:25:00.000000+0000,0.9125
2018-06-0206:30:00.000000+0000,0.979166667
2018-06-0206:35:00.000000+0000,0.978783458
2018-06-0206:40:00.000000+0000,1.05
2018-06-0206:45:00.000000+0000,1.129166667
2018-06-0206:50:00.000000+0000,0.945833333
2018-06-0206:55:00.000000+0000,1.079166667
2018-06-0207:00:00.000000+0000,0.783333333
2018-06-0207:05:00.000000+0000,0.7625
2018-06-0207:10:00.000000+0000,0.704166667
2018-06-0207:15:00.000000+0000,0.925
2018-06-0207:20:00.000000+0000,0.7125
2018-06-0207:25:00.000000+0000,0.725
2018-06-0207:30:00.000000+0000,0.710177596
2018-06-0207:35:00.000000+0000,0.899081921
2018-06-0207:40:00.000000+0000,0.754166667
2018-06-0207:45:00.000000+0000,0.754166667
2018-06-0207:50:00.000000+0000,0.720833333
2018-06-0207:55:00.000000+0000,0.8375
2018-06-0208:00:00.000000+0000,0.808333333
2018-06-0208:05:00.000000+0000,0.954166667
2018-06-0208:10:00.000000+0000,0.933333333
2018-06-0208:15:00.000000+0000,0.745833333
2018-06-0208:20:00.000000+0000,0.820833333
2018-06-0208:25:00.000000+0000,0.884482958
2018-06-0208:30:00.000000+0000,1.045780078
2018-06-0208:35:00.000000+0000,0.916666667
2018-06-0208:40:00.000000+0000,0.779166667
2018-06-0208:45:00.000000+0000,0.658333333
2018-06-0208:50:00.000000+0000,0.775
2018-06-0208:55:00.000000+0000,1.016666667
2018-06-0209:00:00.000000+0000,0.754166667
2018-06-0209:05:00.000000+0000,0.704166667
2018-06-0209:10:00.000000+0000,0.8125
2018-06-0209:15:00.000000+0000,0.791666667
2018-06-0209:20:00.000000+0000,0.8
2018-06-0209:25:00.000000+0000,0.866666667
2018-06-0209:30:00.000000+0000,0.9
2018-06-0209:35:00.000000+0000,0.883333333
2018-06-0209:40:00.000000+0000,0.8625
2018-06-0209:45:00.000000+0000,0.7875
2018-06-0209:50:00.000000+0000,0.725
2018-06-0209:55:00.000000+0000,0.833333333
2018-06-0210:00:00.000000+0000,0.95
2018-06-0210:05:00.000000+0000,0.933333333
2018-06-0210:10:00.000000+0000,0.815519357
2018-06-0210:15:00.000000+0000,0.720833333
2018-06-0210:20:00.000000+0000,0.716666667
2018-06-0210:25:00.000000+0000,0.75410878
2018-06-0210:30:00.000000+0000,0.8625
2018-06-0210:35:00.000000+0000,0.870833333
2018-06-0210:40:00.000000+0000,0.991666667
2018-06-0210:45:00.000000+0000,0.7375
2018-06-0210:50:00.000000+0000,0.7875
2018-06-0210:55:00.000000+0000,0.829166667
2018-06-0211:00:00.000000+0000,0.875
2018-06-0211:05:00.000000+0000,0.9
2018-06-0211:10:00.000000+0000,0.741666667
2018-06-0211:15:00.000000+0000,0.758333333
2018-06-0211:20:00.000000+0000,0.833333333
2018-06-0211:25:00.000000+0000,0.795833333
2018-06-0211:30:00.000000+0000,0.791666667
2018-06-0211:35:00.000000+0000,0.7375
2018-06-0211:40:00.000000+0000,0.729166667
2018-06-0211:45:00.000000+0000,0.741666667
